"1","1"
"2","1"
"3","1"
"3","2"
"4","1"
"4","3"
"5","1"
"6","4"
"6","5"
"7","6"
"8","7"
"9","5"
"10","2"
"10","8"
"10","9"
"11","1"
"11","10"
"12","6"
"12","11"
"13","12"
"14","13"
"14","14"
"15","1"
"15","2"
"15","15"
"16","6"
"17","1"
"17","12"
"18","5"
"18","6"
"18","16"
"19","1"
"19","6"
"20","3"
"20","6"
"21","17"
"21","18"
"22","1"
"22","10"
"22","15"
"23","2"
"24","17"
"24","18"
"25","1"
"26","10"
"27","1"
"28","1"
"28","15"
"29","1"
"29","10"
"30","1"
"31","2"
"31","5"
"32","1"
"32","2"
"33","1"
"33","2"
"33","11"
"34","13"
"34","17"
"35","1"
"35","11"
"36","5"
"36","6"
"37","6"
"38","1"
"39","19"
"40","20"
"41","4"
"41","5"
"42","1"
"42","2"
"42","5"
"43","8"
"43","9"
"44","1"
"45","1"
"45","6"
"46","6"
"47","1"
"47","10"
"48","15"
"48","21"
"49","5"
"49","19"
"50","17"
"50","18"
"51","1"
"52","3"
"52","18"
"53","1"
"53","17"
"54","17"
"54","18"
"55","3"
"56","5"
"57","1"
"58","2"
"58","17"
"59","1"
"60","1"
"60","2"
"60","10"
"61","2"
"61","8"
"61","18"
"62","7"
"63","13"
"64","1"
"64","15"
"65","1"
"66","1"
"67","1"
"68","1"
"68","11"
"69","1"
"69","12"
"70","6"
"71","17"
"71","18"
"72","2"
"72","22"
"73","1"
"74","6"
"75","3"
"75","6"
"76","1"
"77","4"
"78","23"
"79","2"
"79","22"
"80","1"
"80","12"
"81","1"
"81","24"
"82","1"
"82","6"
"83","1"
"83","5"
"84","17"
"84","25"
"85","1"
"86","7"
"87","26"
"88","7"
"88","15"
"89","5"
"89","6"
"90","1"
"90","6"
"91","17"
"91","18"
"92","1"
"93","9"
"93","17"
"93","18"
"94","1"
"94","11"
"94","15"
"95","9"
"95","17"
"95","18"
"96","15"
"96","23"
"97","5"
"97","6"
"98","21"
"99","1"
"100","1"
"101","1"
"101","2"
"102","4"
"102","6"
"103","1"
"103","19"
"104","2"
"104","9"
"105","1"
"106","1"
"106","12"
"107","22"
"108","9"
"108","17"
"108","18"
"109","2"
"109","4"
"109","5"
"110","9"
"110","17"
"110","18"
"111","17"
"111","18"
"112","1"
"112","18"
"112","20"
"113","3"
"114","1"
"114","6"
"115","1"
"115","10"
"116","2"
"117","1"
"117","2"
"118","8"
"118","9"
"119","4"
"119","5"
"120","4"
"120","5"
"121","4"
"121","5"
"122","6"
"123","19"
"124","1"
"124","2"
"125","1"
"126","1"
"126","27"
"127","1"
"127","10"
"127","15"
"128","2"
"129","21"
"130","4"
"130","5"
"131","1"
"131","3"
"131","15"
"132","1"
"132","2"
"133","4"
"133","5"
"134","17"
"134","18"
"135","3"
"136","9"
"136","17"
"137","1"
"137","15"
"138","1"
"139","6"
"140","9"
"140","17"
"140","18"
"141","1"
"142","4"
"142","5"
"143","7"
"144","13"
"144","17"
"145","2"
"145","5"
"145","18"
"146","5"
"147","3"
"147","6"
"148","1"
"148","10"
"149","13"
"150","1"
"150","17"
"151","3"
"151","18"
"152","20"
"153","1"
"154","13"
"155","1"
"155","10"
"155","15"
"156","6"
"156","28"
"157","6"
"157","8"
"157","29"
"158","17"
"158","18"
"159","6"
"160","1"
"160","5"
"161","5"
"161","18"
"162","5"
"162","18"
"163","6"
"163","12"
"164","1"
"164","6"
"165","1"
"165","3"
"165","15"
"166","19"
"166","29"
"167","4"
"167","5"
"168","4"
"168","5"
"169","9"
"169","17"
"169","18"
"170","19"
"171","2"
"172","5"
"172","8"
"172","9"
"173","4"
"174","27"
"175","19"
"176","5"
"176","19"
"177","8"
"177","9"
"177","17"
"177","18"
"178","1"
"178","15"
"179","4"
"179","5"
"180","22"
"181","1"
"181","2"
"182","6"
"183","1"
"184","6"
"185","1"
"185","15"
"186","7"
"187","1"
"187","29"
"188","4"
"188","5"
"189","2"
"190","6"
"191","1"
"191","3"
"192","1"
"192","5"
"193","9"
"193","17"
"193","18"
"194","5"
"194","18"
"195","9"
"195","17"
"195","18"
"196","1"
"196","2"
"197","1"
"197","10"
"198","28"
"198","29"
"199","5"
"199","6"
"200","1"
"200","5"
"201","1"
"201","2"
"201","3"
"202","2"
"203","1"
"203","2"
"203","29"
"204","5"
"204","6"
"205","2"
"205","17"
"206","1"
"206","3"
"206","6"
"207","1"
"207","2"
"207","16"
"208","6"
"208","17"
"209","1"
"210","22"
"211","1"
"211","12"
"212","5"
"212","18"
"213","23"
"214","1"
"215","15"
"215","30"
"216","4"
"217","9"
"217","17"
"217","18"
"218","1"
"218","2"
"219","1"
"219","5"
"220","5"
"220","6"
"221","8"
"221","31"
"222","4"
"223","27"
"224","17"
"224","18"
"225","1"
"226","2"
"227","2"
