"4214","Ali Adler"
"4379","Ali LeRoi"
"1853","Alice Rohrwacher"
"2312","Alice Winocour"
"3666","Alison Bagnall"
"4669","Alison Bell"
"5158","Alison Brown"
"3530","Alison Murray"
"1616","Alister Grierson"
"2257","Allan A. Goldstein"
"5285","Allan Burns"
"2370","Allan Moyle"
"307","Allen Coulter"
"999","Allen Hughes"
"2758","Allison Burnett"
"4021","Allison Liddi-Brown"
"5279","Allison M. Gibson"
"2752","Alma Har'el"
"3179","Aluizio Abranches"
"1922","Amanda Sthers"
"3270","Amat Escalante"
"5320","Amaya Muruzabal"
"2381","Ami Canaan Mann"
"2985","Amin Dora"
"1927","Amma Asante"
"2510","Amole Gupte"
"4499","Amy Andelson"
"2227","Amy Berg"
"717","Amy Heckerling"
"4414","Amy Holden Jones"
"4495","Amy Lippman"
"4487","Amy Seimetz"
"4167","Amy Sherman-Palladino"
"4914","An Vrombaut"
"1115","Ana Lily Amirpour"
"647","Anand Tucker"
"2799","Anca Damian"
"3925","Anders Anderson"
"4816","Anders Frithiof August"
"374","Anders Thomas Jensen"
"3196","Anders Walter"
"5105","André Benjamin"
"1545","André Bonzel"
"2218","André Hunebelle"
"623","André Øvredal"
"2059","André Singer"
"2829","André Téchiné"
"1021","Andrea Arnold"
"2793","Andrea Berloff"
"1800","Andrea Di Stefano"
"5197","Andrea Savage"
"2595","Andreas Öhman"
"3764","Andreas Prochaska"
"3862","Andrejs Ēķis"
"924","Andrés Baiz"
"5228","Andrés Gelós"
"5277","Andrés Spinova"
"9","Andrew Adamson"
"1856","Andrew Bergman"
"3604","Andrew Currie"
"4405","Andrew Davies"
"422","Andrew Davis"
"4659","Andrew Dettmann"
"516","Andrew Dominik"
"616","Andrew Douglas"
"818","Andrew Erwin"
"5254","Andrew Fielding"
"1860","Andrew Fleming"
"1513","Andrew Haigh"
"3810","Andrew Hyatt"
"736","Andrew Jarecki"
"2222","Andrew Jay Cohen"
"2555","Andrew Leman"
"4332","Andrew Lenchewski"
"4135","Andrew Miller"
"4819","Andrew Mogel"
"3138","Andrew Morahan"
"3586","Andrew Morgan"
"3787","Andrew Neel"
"51","Andrew Niccol"
"4429","Andrew O'Connor"
"3415","Andrew Renzi"
"5239","Andrew Ross"
"4206","Andrew Ross Sorkin"
"4025","Andrew Sipes"
"4137","Andrew Sodroski"
"107","Andrew Stanton"
"2202","Andrew Steggall"
"4128","Andrew W. Marlowe"
"3896","Andrew Waller"
"3598","Andrew Will"
"3750","Andrey Galat"
"3117","Andrey Kravchuk"
"4020","Andrey Shushkov"
"3392","Andrey Smirnov"
"907","Andriej Konczałowski"
"489","Andriej Tarkowski"
"582","Andriej Zwiagincew"
"2676","Andrzej Barański"
"1429","Andrzej Bartkowiak"
"3486","Andrzej Czarnecki"
"2190","Andrzej Fidyk"
"519","Andrzej Jakimowski"
"2627","Andrzej Kondratiuk"
"3040","Andrzej Kotkowski"
"2656","Andrzej Maleszka"
"1508","Andrzej Munk"
"145","Andrzej Saramonowicz"
"1354","Andrzej Sekuła"
"1318","Andrzej Seweryn"
"2812","Andrzej Stopa"
"214","Andrzej Wajda"
"1264","Andrzej Żuławski"
"3178","Andy Bichlbaum"
"4308","Andy Borowitz"
"4097","Andy Breckman"
"1099","Andy Cadiff"
"562","Andy Fickman"
"2604","Andy Garcia"
"2386","Andy Hamilton"
"293","Andy Muschietti"
"5268","Andy Samberg"
"1079","Andy Serkis"
"456","Andy Tennant"
"1197","Aneesh Chaganty"
"166","Ang Lee"
"2248","Angel Gracia"
"3822","Angela Bettis"
"1236","Angela Robinson"
"5107","Angèle Herry-Leclerc"
"415","Angelina Jolie"
"3870","Angelina Nikonova"
"5146","Angus Oblong"
"2583","Anh Hung Tran"
"4132","Ann Biderman"
"4109","Ann Donahue"
"3977","Ann Turner"
"4879","Anna Bache-Wiig"
"3187","Anna Biller"
"470","Anna Boden"
"1057","Anna Foerster"
"5362","Anna Fricke"
"1934","Anna Jadowska"
"2118","Anna Justice"
"685","Anna Kazejak"
"2046","Anna Melikyan"
"2978","Anna Muylaert"
"1921","Anna Odell"
"787","Anna Plutecka-Mesjasz"
"1488","Anna Wieczur-Bluszcz"
"5006","Anna Winger"
